Tempo (s),Corrente i(t) [A],Tensão R [V],Tensão L [V],Tensão C [V]
0.0005005005005005005,1.2112550924291953e-06,0.00012112550924291952,0.002379340464700253,2.0989175999555336e-06
0.0005105105105105105,1.2593414760021723e-06,0.00012593414760021722,0.002424458244986578,2.2249778077635582e-06
0.0005205205205205205,1.3083301009412272e-06,0.0001308330100941227,0.0024694809362257224,2.3559417818317487e-06
0.0005305305305305305,1.358219058010603e-06,0.0001358219058010603,0.0025144086384884167,2.4918996454964745e-06
0.0005405405405405405,1.4090065240941864e-06,0.00014090065240941863,0.00255924145147443,2.632941339599997e-06
0.0005505505505505506,1.4606906140399915e-06,0.00014606906140399915,0.0026039794751507514,2.7791566162806764e-06
0.0005605605605605605,1.513269428979676e-06,0.0001513269428979676,0.0026486228095434525,2.930635037599963e-06
0.0005705705705705706,1.5667410700448994e-06,0.00015667410700448994,0.002693171554678605,3.087465975542396e-06
0.0005805805805805806,1.621103638367319e-06,0.00016211036383673188,0.00273762581058228,3.2497386120156005e-06
0.0005905905905905905,1.6763552350785923e-06,0.00016763552350785923,0.002781985677280549,3.417541938850294e-06
0.0006006006006006006,1.7324939613103789e-06,0.00017324939613103788,0.0028262512547994846,3.5909647578002826e-06
0.0006106106106106106,1.7895179181943362e-06,0.00017895179181943362,0.0028704226431651566,3.770095680542459e-06
0.0006206206206206207,1.8474252167925934e-06,0.00018474252167925934,0.002914499942347442,3.9550231296708465e-06
0.0006306306306306306,1.9062140210266807e-06,0.00019062140210266806,0.002958483252017085,4.145835343987831e-06
0.0006406406406406406,1.96588245652048e-06,0.000196588245652048,0.0030023726720615593,4.342620374670562e-06
0.0006506506506506507,2.02642864057768e-06,0.00020264286405776802,0.003046168302415418,4.5454660844380974e-06
0.0006606606606606606,2.0878506905019687e-06,0.00020878506905019686,0.003089870243013216,4.754460147551408e-06
0.0006706706706706706,2.1501467235970364e-06,0.00021501467235970364,0.0031334785937895088,4.969690049813373e-06
0.0006806806806806807,2.213314857166572e-06,0.0002213314857166572,0.00317699345467885,5.191243088568787e-06
0.0006906906906906907,2.2773532085142643e-06,0.00022773532085142644,0.0032204149256157954,5.419206372704348e-06
0.0007007007007007007,2.342259894943802e-06,0.0002342259894943802,0.0032637431065348985,5.653666822648672e-06
0.0007107107107107107,2.408033044954616e-06,0.0002408033044954616,0.0033069780973014103,5.894711171492978e-06
0.0007207207207207207,2.474670845731802e-06,0.0002474670845731802,0.003350119997417299,6.14242597086553e-06
0.0007307307307307307,2.5421714416962857e-06,0.00025421714416962854,0.003393168906649255,6.396897586650944e-06
0.0007407407407407407,2.6105329681405185e-06,0.0002610532968140519,0.003436124924820479,6.658212198076422e-06
0.0007507507507507507,2.679753560356949e-06,0.0002679753560356949,0.003478988151754169,6.9264557977117535e-06
0.0007607607607607608,2.749831353638026e-06,0.0002749831353638026,0.003521758687273524,7.201714191469313e-06
0.0007707707707707707,2.8207644832761994e-06,0.00028207644832761996,0.0035644366312017435,7.484072998604067e-06
0.0007807807807807808,2.8925510845639194e-06,0.00028925510845639196,0.0036070220833620266,7.77361765171357e-06
0.0007907907907907908,2.9651892927936357e-06,0.0002965189292793636,0.0036495151435775725,8.070433396737959e-06
0.0008008008008008008,3.038677254591131e-06,0.00030386772545911307,0.0036919159115923576,8.374605294094427e-06
0.0008108108108108108,3.1130131750851765e-06,0.0003113013175085176,0.00373422448674141,8.686218224533383e-06
0.0008208208208208208,3.1881952165286174e-06,0.0003188195216528617,0.0037764409686594706,9.00535688484656e-06
0.0008308308308308308,3.2642215321818057e-06,0.0003264221532181806,0.003818565457044139,9.33210578696686e-06
0.0008408408408408408,3.341090275305094e-06,0.0003341090275305094,0.0038605980515930144,9.66654925796837e-06
0.0008508508508508508,3.418799599158838e-06,0.00034187995991588377,0.003902538852003697,1.0008771440066353e-05
0.0008608608608608609,3.497347657003389e-06,0.0003497347657003389,0.003944387957973786,1.0358856290617243e-05
0.0008708708708708709,3.5767326020991015e-06,0.0003576732602099101,0.003986145469200881,1.0716887582118653e-05
