pasta_run,configuracao,execucao,config_num,param_CROSSOVER,param_DELTA_MIN,param_IND_SIZE,param_MUTACAO,param_NUM_GENERATIONS,param_NUM_VAR_DIFERENTES,param_POP_SIZE,param_PORCENTAGEM,param_RCE_REPOPULATION_GENERATIONS,best_var_1,best_var_2,best_var_3,best_var_4,best_var_5,best_fitness,best_gen_idx
run_2025-08-21_22-49-32,config_3,1,3,0.9,2,5,0.5,100,1,5,0.2,50,13,21,13,13,13,37.35402933294375,99
run_2025-08-21_22-49-32,config_3,2,3,0.9,2,5,0.5,100,1,5,0.2,50,28,13,17,28,13,54.13487116301643,99
run_2025-08-21_22-49-32,config_3,3,3,0.9,2,5,0.5,100,1,5,0.2,50,19,13,19,19,14,38.56955617823384,99
run_2025-08-21_22-49-32,config_3,4,3,0.9,2,5,0.5,100,1,5,0.2,50,3,17,3,3,3,37.35402933294375,99
run_2025-08-21_22-49-32,config_3,5,3,0.9,2,5,0.5,100,1,5,0.2,50,20,23,26,26,28,51.88137545831324,99
run_2025-08-21_22-49-32,config_4,1,4,0.9,2,5,0.25,100,1,5,0.2,50,24,28,12,2,24,76.59284313761273,99
run_2025-08-21_22-49-32,config_4,2,4,0.9,2,5,0.25,100,1,5,0.2,50,1,23,22,22,3,52.36820530346571,99
run_2025-08-21_22-49-32,config_4,3,4,0.9,2,5,0.25,100,1,5,0.2,50,1,8,1,1,8,38.53470219412254,99
run_2025-08-21_22-49-32,config_4,4,4,0.9,2,5,0.25,100,1,5,0.2,50,23,2,2,2,4,52.32727973261107,99
run_2025-08-21_22-49-32,config_4,5,4,0.9,2,5,0.25,100,1,5,0.2,50,29,20,19,19,29,52.36820530346571,99
run_2025-08-22_09-14-01,config_1,1,1,0.9,2,5,0.9,100,1,10,0.2,50,2,21,2,2,2,37.35402933294375,99
run_2025-08-22_09-14-01,config_1,2,1,0.9,2,5,0.9,100,1,10,0.2,50,10,19,10,10,12,37.35402933294375,99
run_2025-08-22_09-14-01,config_1,3,1,0.9,2,5,0.9,100,1,10,0.2,50,2,3,31,31,2,51.16019157575857,99
run_2025-08-22_09-14-01,config_1,4,1,0.9,2,5,0.9,100,1,10,0.2,50,3,3,10,10,5,50.86900424344032,99
run_2025-08-22_09-14-01,config_1,5,1,0.9,2,5,0.9,100,1,10,0.2,50,0,21,0,0,0,37.35402933294375,99
run_2025-08-22_09-14-01,config_2,1,2,0.8,2,5,0.9,100,1,10,0.2,50,4,20,4,4,6,37.35402933294379,99
run_2025-08-22_09-14-01,config_2,2,2,0.8,2,5,0.9,100,1,10,0.2,50,11,20,11,11,11,37.35402933294375,99
run_2025-08-22_09-14-01,config_2,3,2,0.8,2,5,0.9,100,1,10,0.2,50,16,23,16,16,18,37.35402933294375,99
run_2025-08-22_09-14-01,config_2,4,2,0.8,2,5,0.9,100,1,10,0.2,50,29,22,31,31,31,52.32343788272181,99
run_2025-08-22_09-14-01,config_2,5,2,0.8,2,5,0.9,100,1,10,0.2,50,16,22,16,16,16,37.35402933294375,99
run_2025-08-22_09-14-01,config_3,1,3,0.7,2,5,0.9,100,1,10,0.2,50,6,23,6,6,6,37.35402933294375,99
run_2025-08-22_09-14-01,config_3,2,3,0.7,2,5,0.9,100,1,10,0.2,50,31,3,31,31,31,37.35402933294375,99
run_2025-08-22_09-14-01,config_3,3,3,0.7,2,5,0.9,100,1,10,0.2,50,20,2,20,20,20,37.35402933294379,99
run_2025-08-22_09-14-01,config_3,4,3,0.7,2,5,0.9,100,1,10,0.2,50,22,22,28,28,24,51.16019157575857,99
run_2025-08-22_09-14-01,config_3,5,3,0.7,2,5,0.9,100,1,10,0.2,50,22,2,22,22,24,37.35402933294375,99
run_2025-08-22_09-14-01,config_4,1,4,0.6,2,5,0.9,100,1,10,0.2,50,3,17,3,3,3,37.35402933294375,99
run_2025-08-22_09-14-01,config_4,2,4,0.6,2,5,0.9,100,1,10,0.2,50,2,15,2,2,2,37.35402933294375,99
run_2025-08-22_09-14-01,config_4,3,4,0.6,2,5,0.9,100,1,10,0.2,50,1,19,1,1,1,37.35402933294375,99
