,pasta_run,configuracao,execucao,config_num,param_CROSSOVER,param_DELTA_MIN,param_IND_SIZE,param_MUTACAO,param_NUM_GENERATIONS,param_NUM_VAR_DIFERENTES,param_POP_SIZE,param_PORCENTAGEM,param_RCE_REPOPULATION_GENERATIONS,best_var_1,best_var_10,best_var_2,best_var_3,best_var_4,best_var_5,best_var_6,best_var_7,best_var_8,best_var_9,best_fitness,best_gen_idx,fitness_function
33,run_2025-08-29_02-41-00,config_1,6,1,0.9,2,10,0.9,20,1,10,0.2,50,2,9,29,2,2,4,29,2,29,14,51.36860285855139,19,function_IEEE_30
34,run_2025-08-29_02-41-00,config_1,7,1,0.9,2,10,0.9,20,1,10,0.2,50,3,18,18,23,3,11,10,10,11,3,74.71387324321469,19,function_IEEE_30
35,run_2025-08-29_03-02-35,config_1,1,1,0.9,2,10,0.9,20,1,10,0.2,50,20,0,0,18,31,20,0,18,8,20,60.12465299051002,16,function_IEEE_30
36,run_2025-08-29_03-02-35,config_1,2,1,0.9,2,10,0.9,20,1,10,0.2,50,1,29,2,17,6,17,24,6,1,24,90.22154010305432,18,function_IEEE_30
37,run_2025-08-29_03-02-35,config_1,3,1,0.9,2,10,0.9,20,1,10,0.2,50,14,9,9,8,29,8,14,14,2,22,81.03923045560538,16,function_IEEE_30
38,run_2025-08-29_03-02-35,config_1,4,1,0.9,2,10,0.9,20,1,10,0.2,50,13,23,23,13,7,12,29,10,29,12,71.48759872863228,17,function_IEEE_30
39,run_2025-08-29_03-02-35,config_1,5,1,0.9,2,10,0.9,20,1,10,0.2,50,24,11,16,15,24,11,1,16,11,6,70.46373966882555,17,function_IEEE_30
40,run_2025-08-29_03-02-35,config_1,6,1,0.9,2,10,0.9,20,1,10,0.2,50,18,0,9,12,12,14,0,12,0,14,51.25417116186403,19,function_IEEE_30
41,run_2025-08-29_03-02-35,config_1,7,1,0.9,2,10,0.9,20,1,10,0.2,50,16,1,17,16,22,18,1,1,11,18,69.49805135065665,18,function_IEEE_30
42,run_2025-08-29_03-24-05,config_1,1,1,0.9,2,10,0.9,20,1,10,0.2,50,20,26,26,20,1,14,1,1,26,20,60.39690286379585,19,function_IEEE_30
43,run_2025-08-29_03-24-05,config_1,2,1,0.9,2,10,0.9,20,1,10,0.2,50,29,0,30,29,24,30,16,29,24,16,70.33344619037086,15,function_IEEE_30
44,run_2025-08-29_03-24-05,config_1,3,1,0.9,2,10,0.9,20,1,10,0.2,50,27,24,29,27,14,29,0,14,29,29,60.65079914243123,14,function_IEEE_30
45,run_2025-08-29_03-24-05,config_1,4,1,0.9,2,10,0.9,20,1,10,0.2,50,27,3,27,27,27,14,3,6,8,20,79.77175775525258,14,function_IEEE_30
46,run_2025-08-29_03-24-05,config_1,5,1,0.9,2,10,0.9,20,1,10,0.2,50,3,5,7,12,12,3,31,4,5,31,93.21828656950322,17,function_IEEE_30
47,run_2025-08-29_03-24-05,config_1,6,1,0.9,2,10,0.9,20,1,10,0.2,50,16,11,24,24,16,24,3,22,3,11,83.30591760243827,18,function_IEEE_30
48,run_2025-08-29_03-24-05,config_1,7,1,0.9,2,10,0.9,20,1,10,0.2,50,13,2,2,2,7,22,27,2,2,22,60.75436103269089,19,function_IEEE_30
49,run_2025-08-29_09-31-38,config_1,1,1,0.9,2,10,0.5,20,1,10,0.2,50,18,0,11,4,18,6,27,18,11,5,83.62958536688184,11,function_IEEE_30
50,run_2025-08-29_09-31-38,config_1,2,1,0.9,2,10,0.5,20,1,10,0.2,50,2,2,9,9,26,22,2,2,9,15,70.28350465061963,18,function_IEEE_30
51,run_2025-08-29_09-31-38,config_1,3,1,0.9,2,10,0.5,20,1,10,0.2,50,20,10,10,1,18,20,10,24,5,1,81.5538916534439,19,function_IEEE_30
52,run_2025-08-29_09-31-38,config_1,4,1,0.9,2,10,0.5,20,1,10,0.2,50,14,0,5,11,14,20,30,11,0,20,69.96481884499433,18,function_IEEE_30
53,run_2025-08-29_09-31-38,config_1,5,1,0.9,2,10,0.5,20,1,10,0.2,50,2,3,31,23,2,3,21,9,31,17,91.23074538392875,18,function_IEEE_30
54,run_2025-08-29_09-31-38,config_1,6,1,0.9,2,10,0.5,20,1,10,0.2,50,5,11,5,21,25,21,10,25,10,27,77.91403492021858,15,function_IEEE_30
55,run_2025-08-29_09-31-38,config_1,7,1,0.9,2,10,0.5,20,1,10,0.2,50,25,11,21,25,21,7,7,10,31,12,90.3892695833925,14,function_IEEE_30
56,run_2025-08-29_09-31-38,config_2,1,2,0.9,2,10,0.5,20,1,10,0.2,50,31,18,18,31,24,30,13,24,8,30,71.03936704629072,15,function_IEEE_30
57,run_2025-08-29_09-31-38,config_2,2,2,0.9,2,10,0.5,20,1,10,0.2,50,23,12,29,28,23,29,0,11,29,29,70.29502002498131,19,function_IEEE_30
58,run_2025-08-29_09-31-38,config_2,3,2,0.9,2,10,0.5,20,1,10,0.2,50,25,8,8,31,8,21,25,2,30,27,90.61766048075884,12,function_IEEE_30
59,run_2025-08-29_09-31-38,config_2,4,2,0.9,2,10,0.5,20,1,10,0.2,50,26,9,17,17,27,18,9,26,2,18,80.10815500375237,8,function_IEEE_30
60,run_2025-08-29_09-31-38,config_2,5,2,0.9,2,10,0.5,20,1,10,0.2,50,15,16,10,10,26,26,10,26,6,26,76.10668818897702,18,function_IEEE_30
61,run_2025-08-29_09-31-38,config_2,6,2,0.9,2,10,0.5,20,1,10,0.2,50,29,30,28,7,1,7,28,19,30,7,83.95485074397826,13,function_IEEE_30
62,run_2025-08-29_09-31-38,config_2,7,2,0.9,2,10,0.5,20,1,10,0.2,50,27,22,10,31,31,27,1,10,10,27,72.34833197231806,13,function_IEEE_30
63,run_2025-08-29_09-31-38,config_3,1,3,0.9,2,10,0.5,20,1,10,0.2,50,7,26,26,7,20,8,8,26,31,15,79.6032091818544,2,function_IEEE_30
64,run_2025-08-29_09-31-38,config_3,2,3,0.9,2,10,0.5,20,1,10,0.2,50,10,9,7,3,3,12,9,14,26,16,80.6576796606395,12,function_IEEE_30
65,run_2025-08-29_09-31-38,config_3,3,3,0.9,2,10,0.5,20,1,10,0.2,50,28,15,28,13,30,15,21,28,29,29,94.35191265863823,14,function_IEEE_30
66,run_2025-08-29_09-31-38,config_3,4,3,0.9,2,10,0.5,20,1,10,0.2,50,11,30,30,11,17,6,9,4,9,6,91.2215597566585,14,function_IEEE_30
67,run_2025-08-29_09-31-38,config_3,5,3,0.9,2,10,0.5,20,1,10,0.2,50,1,22,21,1,28,22,22,12,29,3,85.92082288136916,7,function_IEEE_30
68,run_2025-08-29_09-31-38,config_3,6,3,0.9,2,10,0.5,20,1,10,0.2,50,12,4,9,12,19,10,7,12,3,25,100.9821152014726,17,function_IEEE_30
69,run_2025-08-29_09-31-38,config_3,7,3,0.9,2,10,0.5,20,1,10,0.2,50,13,21,20,14,28,21,2,19,2,21,82.94329206738793,16,function_IEEE_30
