Unidades",Estado,Subsistema,Tipo de Usina,Nome do Rio,Nome da Bacia/ Estado,Região de Influência,Despacho da Usina em relação a Potência Instalada,Potência Instalada da Usina em relação ao Nominal da Bacia,Despacho da Usina em relação ao despacho da Bacia,Dados de Linha,Unnamed: 32,Unnamed: 33,Unnamed: 34,Máximo Síncronos Despacháveis,Balanço síncronos,UMX,Síncronos Despachados.1,Mq. Pativa modif + grupo,Mq. Pativa UMX UMN,Mq. Pativa,PInércia,Multiplos Grupos,Sincrono,Max Síncronos,UMN,Pmin,Pmax,Check Pmin,Numeração,Desp min,Sinc min,Nome da Barra do gerador CADASTRO,Qmin,Qmax,Carga Própria UGs (MW),"RPO
sincronizada","Const. Inércia
Equivalente",COD. CEG,COD. PEE,"CVU
(R$/MWh)",Inflexibilidade,Maior Reserva (MW),Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no PWF,,N° Circ,Nome da Barra do GERADOR,,,,,,,,min,,,,,,,,,,,,,,,,,,,,,489.700000000001,Belo Monte,,,,,,,,,,,
1,,,,,,,,MW,%,Mvar,Vterm,MW,%,MW,%,Forçar Nº de Máq,"Despacho
Síncronos",V term,,,,,,,Tipo de Usina,,,,,,,Barra DE,Barra PARA,,,,,,,,,,,,,,,,,,,,,,Qmin,Qmax,,9776.816,352.269093,Qmin,Qmin,Qmax,Qmin,Maior Inécia (MVA.s),,,,,,,,,,,,
40,Do Atlântico (TKCSA) (gás),9600,128,40,128,-96,96,102,0.796875,-23.7,0.962,102,0.796875,,,,,,-,-,1,1,RJ,SE-CO,Gás Natural,,Rio de Janeiro,,0.796875,0.0116841624828845,0.0,9637,9600,1,CSA-G-UTE001,-,-,1,-,,1,1,128,-,-,-,0,40,128,OK,212.0,,,CSA-G-UTE000,-96,96,,26,1407.2,UTE.PE.RJ.029587-6.01,183,244.51,100,,,,,,,,,,,,,
41,Do Atlântico (TKCSA) (gás),9615,128,40,128,-96,96,102,0.796875,-23.7,0.962,102,0.796875,,,,,,-,-,1,1,RJ,SE-CO,Gás Natural,,Rio de Janeiro,,0.796875,0.0116841624828845,0.0,9637,9615,1,CSA-G2UTE001,-,-,1,-,,1,1,128,-,-,-,0,40,128,OK,214.0,,,CSA-G2UTE000,-96,96,,26,0.0,UTE.PE.RJ.029587-6.01,183,244.51,100,,,,,,,,,,,,,
42,Poraquê (antiga Cristiano Rocha),8611,85,2.14,17.08,-4,12.81,60,0.705882352941177,13.06,1.01,60,0.705882352941177,,,,,,-,-,4,5,AM,N,Gás Natural,,Amazonas,,0.705882352941177,0.064638783269962,0.0,8551,8611,1,CROCHAUTE004,-,-,5,-,,4,4,17.08,-,-,-,0,2.14,17.08,OK,339.0,,,CROCHAUTE000,-4,12.81,,8.31999999999999,113.568,,203,0,67,,,,,,,,,,,,,
43,Mauá 3 (Gás),8535,375,106.7,187.5,-75,120,295,0.786666666666667,145.4,1.01,295,0.786666666666667,,,,,,-,-,2,2,AM,N,Gás Natural,,Amazonas,,0.786666666666667,0.285171102661597,0.0,8531,8535,1,MAUAG1UTE002,-,-,2,-,,2,2,187.5,-,-,-,0,106.7,187.5,OK,335.0,,,MAUAG1UTE000,-75,120,,80,2936.464,,140,74.4,176,,,,,,,,,,,,,
44,Aparecida B2,8653,86,5,43,-37.49,37.49,67,0.779069767441861,32.01,1.02,67,0.779069767441861,,,,,,-,-,2,2,AM,N,Gás Natural,,Amazonas,,0.779069767441861,0.0653992395437262,0.0,8567,8653,1,APARE2UTE002,-,-,2,-,,2,2,43,-,-,-,0,5,43,OK,338.0,,,APARE2UTE000,-37.49,37.49,,19,145.266,,201,74.4,40,,,,,,,,,,,,,
45,Caçu,9448,65,,32.5,-11.7,15.74,50,0.769230769230769,-4.85,0.986,50,0.769230769230769,,,,,,-,-,2,2,GO,SE-CO,Reservatório,Rio Claro,Bacia do Paranaíba,,0.769230769230769,0.00764525993883792,0.0,9448,9458,1,CACU--UHE002,-,-,2,-,,2,2,32.5,-,-,-,0,0,32.5,OK,34.0,13.0,,CACU--UHE000,-11.7,15.74,,15,211.68,UHE.PH.GO.028756-3.01,,,,,,,,,,,,,,,,
46,Foz de Chapecó,1070,855,150,213.8,-70.3,70.3,513,0.6,-172,0.95,513,0.6,,,,,,1,0,3,4,SC,S,Fio d´Agua,Rio Uruguai,Rio Uruguai,,0.6,0.144939820308527,0.0,1071,1070,1,FCHAPEUHE003,1,1,4,0,,3,3,213.8,-,1073,3,0,150,213.8,OK,183.0,150.0,3.0,FCHAPEUHE000,-70.3,70.3,,128.4,2700.0,UHE.PH.RS.028354-1.01,,,,,,,,,,,,,,,,
47,Fontes,253,88,10,44,-8.4,25,70,0.795454545454545,17.44,0.964,70,0.795454545454545,,,,,,-,-,2,2,RJ,SE-CO,Fio d´Agua,Ribeirão das Lajes,P. do Sul / R. das Lajes / Piraí,,0.795454545454545,0.0508083140877598,0.0,254,253,1,FONTE2UHE002,-,-,2,-,,2,2,44,-,-,-,0,10,44,OK,86.0,,,FONTE2UHE000,-8.4,25,,18,275.792,UHE.PH.RJ.000973-3.01,,,,,,,,,,,,,,,,
48,Quebra Queixo,2836,121,31,40.5,-18,19,73,0.603305785123967,-23.8,0.95,73,0.603305785123967,,,,,,-,-,2,3,SC,S,Reservatório,Rio Chapecó,Rio Uruguai,,0.603305785123967,0.0205119511781658,0.0,2838,2836,1,QQUEIXUHE002,-,-,3,-,,2,2,40.5,-,-,-,0,31,40.5,OK,184.0,15.0,,QQUEIXUHE000,-18,19,,8,318.69,UHE.PH.SC.002167-9.01,,,,,,,,,,,,,,,,
49,Tucunaré (antiga Ponta Negra),8610,85,2.14,17.08,-4,12.81,64,0.752941176470588,39.09,1,64,0.752941176470588,,,,,,-,-,4,5,AM,N,Gás Natural,,Amazonas,,0.752941176470588,0.064638783269962,0.0,8546,8610,1,PIEGERUTE004,-,-,5,-,,4,4,17.08,-,-,-,0,2.14,17.08,OK,345.0,,,PIEGERUTE000,-4,12.81,,4.31999999999999,122.052,,207,0,64,,,,,,,,,,,,,
50,Corumbá III,3642,100,-,-,-,-,75,0.75,11.82,0.952,75,0.75,,,,,,-,-,-,-,GO,SE-CO,Reservatório,Rio Corumbá,Bacia do Paranaíba,,0.75,0.011761938367443,0.0,2528,3642,1,CORUM3UHE002,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,20.0,7.0,,CORUM3UHE002,-,-,,-,0.0,UHE.PH.GO.028352-5.01,,,,,,,,,,,,,,,,
51,Santa Branca,296,56,-,-,-,-,45,0.803571428571429,-4.66,0.982,45,0.803571428571429,,,,,,-,-,-,-,SP,SE-CO,Reservatório,Rio Paraíba do Sul,P. do Sul / R. das Lajes / Piraí,Vale do Paraíba do Sul - SP,0.803571428571429,0.0323325635103926,0.0,297,296,1,S.BRANUHE002,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,76.0,11.0,,S.BRANUHE002,-,-,,-,0.0,UHE.PH.SP.002696-4.01,,,,,,,,,,,,,,,,
52,Fontes,44322,44,10,44,-8.4,30,35,0.795454545454545,11.37,0.975,35,0.795454545454545,,,,,,-,-,1,1,RJ,SE-CO,Fio d´Agua,Ribeirão das Lajes,P. do Sul / R. das Lajes / Piraí,,0.795454545454545,0.0254041570438799,0.0,254,44322,1,FONTE1UHE001,-,-,1,-,,1,1,44,-,-,-,0,10,44,OK,85.0,,,FONTE1UHE000,-8.4,30,,9,150.92,UHE.PH.RJ.000973-3.01,,,,,,,,,,,,,,,,
53,Machadinho,915,1140,260,380,-146.6,140,684,0.6,-351,0.95,684,0.6,,,,,,1,0,2,3,SC,S,Reservatório,Rio Uruguai,Rio Uruguai,Sistema de 500kV do Sul,0.6,0.193253093744702,0.0,1030,915,1,MACHADUHE002,1,1,3,0,,2,2,380,-,916,2,0,260,380,OK,179.0,0.0,2.0,MACHADUHE000,-146.6,140,0.6,76,3719.364,UHE.PH.SC.001356-0.01,,,,,,,,,,,,,,,,
54,São Domingos,1866,48,-,-,-,-,29,0.604166666666667,-8.53,0.998,29,0.604166666666667,,,,,,-,-,-,-,MS,S,Reservatório,Rio Verde,Bacia do Paraná,Mato Grosso do Sul,0.604166666666667,0.00730816077953715,0.0,1866,1864,1,SDOMINUHE002,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,41.0,25.0,,SDOMINUHE002,-,-,,-,0.0,UHE.PH.MS.028761-0.01,,,,,,,,,,,,,,,,
55,S. Osorio 1 e 4,919,728,129,182,-40,53,437,0.600274725274725,-98.3,0.955,437,0.600274725274725,,,,,,1,1,3,4,PR,S,Fio d´Agua,Rio Iguaçu,Bacia do Iguaçu,,0.600274725274725,0.099712368168744,0.0,1047,919,1,SOSO14UHE003,1,0,4,1,,3,3,182,-,920,4,0,129,182,OK,169.0,0.0,4.0,SOSO14UHE000,-40,53,1.528,109,2624.8,UHE.PH.PR.002659-0.01,,,,,,,,,,,,,,,,
56,Pirarucu (antiga Manauara),8609,91,5.505,18.35,-12.81,12.81,65,0.714285714285714,12.88,1,65,0.714285714285714,,,,,,-,-,4,5,AM,N,Gás Natural,,Amazonas,,0.714285714285714,0.0692015209125475,0.0,8548,8609,1,PIE-MAUTE004,-,-,5,-,,4,4,18.35,-,-,-,0,5.505,18.35,OK,344.0,,,PIE-MAUTE000,-12.81,12.81,,8.40000000000001,124.384,,205,0,64.5,,,,,,,,,,,,,
57,São Roque,9740,141,22.7,47.3,-22,22,85,0.602836879432624,-65.9,0.96,85,0.602836879432624,,,,,,-,-,2,3,SC,S,Fio d´Agua,Rio Canoas,Rio Uruguai,,0.602836879432624,0.0239023563315816,0.0,9741,9740,1,SROQUEUHE002,-,-,3,-,,2,2,47.3,-,-,-,0,22.7,47.3,OK,175.0,,,SROQUEUHE000,-22,22,,9.59999999999999,313.23,UHE.PH.SC.030938-9.01,,,,,,,,,,,,,,,,
58,Itumbiara,18,2280,201,380,-91,100,1614,0.707894736842105,-228,0.966,1614,0.707894736842105,,,,,,1,1,5,6,MG/GO,SE-CO,Reservatório,Rio Paranaíba,Bacia do Paranaíba,Sistema de 500kV do Paranaíba,0.707894736842105,0.268172194777699,0.0,210,18,1,ITUMBIUHE005,1,0,6,1,,5,5,380,-,19,6,0,201,380,OK,27.0,127.0,,ITUMBIUHE000,-91,100,,286,9438.9,UHE.PH.MG.001194-0.01,,,,,,,,,,,,,,,,
59,Corumbá I,35,381,39,127,-60,60,343,0.900262467191601,-61.3,0.95,343,0.900262467191601,,,,,,-,-,3,3,GO,SE-CO,Reservatório,Rio Corumbá,Bacia do Paranaíba,,0.900262467191601,0.0448129851799577,0.0,220,35,1,CORUMBUHE003,-,-,3,-,,3,3,127,-,-,-,0,39,127,OK,21.0,85.0,,CORUMBUHE000,-60,60,,38,1388.61,UHE.PH.GO.000866-4.01,,,,,,,,,,,,,,,,
60,Marimbondo,20,1488,111,186,-80,80,1339,0.89986559139785,-251,0.993,1339,0.89986559139785,,,,,,-,-,8,8,MG/SP,SE-CO,Reservatório,Rio Grande,Bacia do Grande,,0.89986559139785,0.199463806970509,0.0,100,20,1,MARIMBUHE008,-,-,8,-,,8,8,186,-,-,-,0,111,186,OK,12.0,166.0,,MARIMBUHE000,-80,80,,149,6536.0,UHE.PH.MG.001417-6.01,,,,,,,,,,,,,,,,
61,São Simão,303,1680,185,280,-100,100,1512,0.9,-300,0.951,1512,0.9,,,,,,-,-,6,6,MG/GO,SE-CO,Reservatório,Rio Paranaíba,Bacia do Paranaíba,Sistema de 500kV do Paranaíba,0.9,0.197600564573042,0.0,370,303,1,SSIMAOUHE006,-,-,6,-,,6,6,280,-,-,-,0,185,280,OK,33.0,563.0,,SSIMAOUHE000,-100,100,,168,10575.144,UHE.PH.GO.002704-9.01,,,,,,,,,,,,,,,,
62,Corumbá IV,3641,129,45,64.6,-24,24,116,0.89922480620155,-6.83,0.95,116,0.89922480620155,,,,,,-,-,2,2,GO,SE-CO,Reservatório,Rio Corumbá,Bacia do Paranaíba,,0.89922480620155,0.0151729004940014,0.0,2526,3641,1,CORUM4UHE002,-,-,2,-,,2,2,64.6,-,-,-,0,45,64.6,OK,19.0,45.0,,CORUM4UHE000,-24,24,,13.2,428.4,UHE.PH.GO.027795-9.01,,,,,,,,,,,,,,,,
63,Jirau (Margem Direita),7051,2100,22,75,-36.7,36.7,1464,0.697142857142857,59.42,0.987,1464,0.697142857142857,,,,,,-,-,20,28,RO,SE-CO,Fio d´Agua,Rio Madeira,Bacia do Amazonas,,0.697142857142857,0.0886637112096264,0.0,7056,7051,1,JIR-MDUHE020,-,-,28,-,,20,20,75,-,-,-,0,22,75,OK,149.0,,,JIR-MDUHE000,-36.7,36.7,,0,0.0,UHE.PH.RO.029736-4.01,,,,,,,,,,,,,,,,
64,St. Antônio  (Margem Direita),7050,576,,,,,401,0.696180555555556,-21.2,0.981,401,0.696180555555556,,,,,,-,-,6,8,RO,SE-CO,Fio d´Agua,Rio Madeira,Bacia do Amazonas,,0.696180555555556,0.0243191893603547,0.0,7053,7050,1,SA-MD-UHE006,-,-,8,-,,6,6,72.04,7050,-,-,0,11,72.04,OK,146.0,,,SA-MD-UHE000,,,,0,0.0,UHE.PH.RO.029707-0.01,,,,,,,,,,,,,,,,
65,Jirau (Margem Esquerda),7061,1650,22,75,-36.7,36.7,1148,0.695757575757576,21.06,0.984,1148,0.695757575757576,,,,,,-,-,16,22,RO,SE-CO,Fio d´Agua,Rio Madeira,Bacia do Amazonas,,0.695757575757576,0.0696643445218493,0.0,7060,7061,1,JIR-MEUHE016,-,-,22,-,,16,16,75,-,-,-,0,22,75,OK,150.0,,,JIR-MEUHE000,-36.7,36.7,,0,0.0,UHE.PH.RO.029736-4.01,,,,,,,,,,,,,,,,
66,St. Antônio  (Leito do Rio),7062,864,,,,,601,0.695601851851852,8.884,0.989,601,0.695601851851852,,,,,,-,-,9,12,RO,SE-CO,Fio d´Agua,Rio Madeira,Bacia do Amazonas,,0.695601851851852,0.036478784040532,0.0,7063,7062,1,SA-LR-UHE009,-,-,12,-,,9,9,72.04,7062,-,-,0,21,72.04,OK,147.0,,,SA-LR-UHE000,,,,0,0.0,UHE.PH.RO.029707-0.01,,,,,,,,,,,,,,,,
67,St. Antônio  (Margem Esquerda),7064,1728,,,,,1202,0.695601851851852,67.09,0.994,1202,0.695601851851852,,,,,,-,-,17,24,RO,SE-CO,Fio d´Agua,Rio Madeira,Bacia do Amazonas,,0.695601851851852,0.072957568081064,0.0,7065,7064,1,SA-ME-UHE017,-,-,24,-,,17,17,72.04,7064,-,-,0,21,72.04,OK,148.0,,,SA-ME-UHE000,,,,0,0.0,UHE.PH.RO.029707-0.01,,,,,,,,,,,,,,,,
68,Espora,3744,32,,10.67,-5.16,5.16,29,0.90625,-3.86,0.989,29,0.90625,,,,,,-,-,3,3,GO,SE-CO,Reservatório,Rio Corrente,Bacia do Paranaíba,,0.90625,0.00376382027758175,0.0,3708,3744,1,ESPORAUHE003,-,-,3,-,,3,3,10.67,-,-,-,0,0,10.67,OK,37.0,9.0,,ESPORAUHE000,-5.16,5.16,,3.01,107.64,UHE.PH.GO.000908-3.01,,,,,,,,,,,,,,,,
69,Passo Fundo,917,232,70,116,-57.5,57.5,139,0.599137931034483,-94.5,0.93,139,0.599137931034483,,,,,,0,0,2,2,RS,S,Reservatório,Rio Passo Fundo,Rio Uruguai,,0.599137931034483,0.0393286997796237,0.0,1041,917,1,PFUNDOUHE002,0,0,2,0,,2,2,116,-,918,2,0,70,116,REDESPACHAR,181.0,0.0,2.0,PFUNDOUHE000,-57.5,57.5,,93,1131.0,UHE.PH.RS.002001-0.01,,,,,,,,,,,,,,,,
70,Itá,904,1450,200,290,-90,90,725,0.5,-360,0.958,725,0.5,,,,,,2,1,3,5,SC,S,Fio d´Agua,Rio Uruguai,Rio Uruguai,Sistema de 500kV do Sul,0.5,0.245804373622648,0.0,996,904,1,ITA---UHE003,2,1,5,1,,3,3,290,-,905,4,0,200,290,OK,180.0,200.0,4.0,ITA---UHE000,-90,90,0.5,145,5307.0,UHE.PH.RS.001152-5.01,,,,,,,,,,,,,,,,
71,Jupiá - 138kV,503,221,25,110.8,-48,48,177,0.800904977375566,-8.51,0.963,177,0.800904977375566,,,,,,-,-,2,2,SP,SE-CO,Fio d´Agua,Rio Paraná,Bacia do Paraná,,0.800904977375566,0.0336479902557856,0.0,541,503,1,JUPI--UHE002,-,-,2,-,,2,2,110.8,-,-,-,0,25,110.8,OK,44.0,,,JUPI--UHE000,-48,48,,44.6,0.0,UHE.PH.SP.001282-3.01,,,,,,,,,,,,,,,,
72,Rondon II,6831,73,10,24.5,-11.9,11.9,48,0.657534246575342,-13.1,0.964,48,0.657534246575342,,,,,,-,-,2,3,RO,SE-CO,Fio d´Agua,Rio Jiparaná,Bacia do Amazonas,,0.657534246575342,0.00308211948490606,0.0,6831,6829,1,ROND2-UHE002,-,-,3,-,,2,2,24.5,-,-,-,0,10,24.5,OK,152.0,18.0,,ROND2-UHE000,-11.9,11.9,,1,114.912,UHE.PH.RO.027448-8.01,,,,,,,,,,,,,,,,
73,Limoeiro (A. S. Oliveira),523,32,4.4,16,-8.5,8.5,26,0.8125,-1.04,0.977,26,0.8125,,,,,,-,-,2,2,SP,SE-CO,Fio d´Agua,Rio Pardo,Bacia do Grande,Pardo - SP,0.8125,0.00428954423592493,0.0,693,523,1,LIMOEIUHE002,-,-,2,-,,2,2,16,-,-,-,0,4.4,16,OK,16.0,4.0,,LIMOEIUHE000,-8.5,8.5,,6,115.2,UHE.PH.SP.001328-5.01,,,,,,,,,,,,,,,,
74,S. Osorio 5 e 6,921,381,100,190.5,-60,70,229,0.601049868766404,-84.9,0.95,229,0.601049868766404,,,,,,0,0,2,2,PR,S,Fio d´Agua,Rio Iguaçu,Bacia do Iguaçu,,0.601049868766404,0.0521846322421586,0.0,1047,921,1,SOSO56UHE002,0,0,2,0,,2,2,190.5,-,922,2,0,100,190.5,OK,170.0,130.0,1.0,SOSO56UHE000,-60,70,1.529,152,1478.88,UHE.PH.PR.002659-0.01,,,,,,,,,,,,,,,,
75,Amador Aguiar 2,4054,210,35,70.33,-22,22,137,0.652380952380952,12.96,0.972,137,0.652380952380952,,,,,,-,-,2,3,MG,SE-CO,Fio d´Agua,Rio Araguari,Bacia do Paranaíba,Malha de Distribuição Triângulo - MG,0.652380952380952,0.0247000705716302,0.0,4055,4054,1,AMADO2UHE002,-,-,3,-,,2,2,70.33,-,-,-,0,35,70.33,OK,25.0,,,AMADO2UHE000,-22,22,,3.66,471.528,UHE.PH.MG.027484-4.01,,,,,,,,,,,,,,,,
76,Camargos,45363,46,-,-,-,-,30,0.652173913043478,2.268,0.959,30,0.652173913043478,,,,,,-,-,-,-,MG,SE-CO,Reservatório,Rio Grande,Bacia do Grande,Malha de Distribuição Sul/Itutinga/Itajubá - MG,0.652173913043478,0.00616621983914209,0.0,1538,45363,1,CAMARGUHE000,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,2.0,17.0,,CAMARGUHE000,-,-,,-,0.0,UHE.PH.MG.000608-4.01,,,,,,,,,,,,,,,,
77,Cachoeira Dourada 230 kV,754,204,60,102,-45,40,133,0.651960784313726,-16.5,0.976,133,0.651960784313726,,,,,,-,-,2,2,GO,SE-CO,Fio d´Agua,Rio Paranaíba,Bacia do Paranaíba,,0.651960784313726,0.0239943542695836,0.0,749,754,1,C.D13KUHE002,-,-,2,-,,2,2,102,-,-,-,0,60,102,OK,28.0,,,C.D13KUHE000,-45,40,,71,624.0,UHE.PH.GO.000528-2.01,,,,,,,,,,,,,,,,
78,Miranda,312,390,80,130,-40,40,254,0.651282051282051,19.73,0.976,254,0.651282051282051,,,,,,-,-,2,3,MG,SE-CO,Reservatório,Rio Araguari,Bacia do Paranaíba,Malha de Distribuição Triângulo - MG,0.651282051282051,0.0458715596330275,0.0,340,312,1,MIRANDUHE002,-,-,3,-,,2,2,130,-,-,-,0,80,130,OK,23.0,80.0,,MIRANDUHE000,-40,40,,6,1132.99,UHE.PH.MG.001469-9.01,,,,,,,,,,,,,,,,
79,Nova Ponte,302,510,115.1,170,-50,50,332,0.650980392156863,32.52,0.961,332,0.650980392156863,,,,,,1,0,2,3,MG,SE-CO,Reservatório,Rio Araguari,Bacia do Paranaíba,Sistema de 500kV do Paranaíba,0.650980392156863,0.0599858856739591,0.0,360,302,1,NPONTEUHE002,1,1,3,0,,2,2,170,-,9035,3,0,115.1,170,OK,22.0,120.0,,NPONTEUHE000,-50,50,,8,1757.78,UHE.PH.MG.001574-1.01,,,,,,,,,,,,,,,,
80,Serra do Facão,3014,212,,106.29,-51.48,51.48,138,0.650943396226415,-5.21,1,138,0.650943396226415,,,,,,-,-,2,2,GO,SE-CO,Reservatório,Rio São Marcos,Bacia do Paranaíba,,0.650943396226415,0.0249353093389791,0.0,3013,3014,1,SFACAOUHE002,-,-,2,-,,2,2,106.29,-,-,-,0,0,106.29,OK,18.0,55.0,,SFACAOUHE000,-51.48,51.48,,74.58,849.6,UHE.PH.GO.028355-0.01,,,,,,,,,,,,,,,,
81,Cachoeira Dourada 230 kV,753,252,70,84,-35,35,164,0.650793650793651,35,0.946,164,0.650793650793651,,,,,,-,-,2,3,GO,SE-CO,Fio d´Agua,Rio Paranaíba,Bacia do Paranaíba,,0.650793650793651,0.0296400846859562,0.0,749,753,1,C.D13NUHE002,-,-,3,-,,2,2,84,-,-,-,0,70,84,OK,29.0,,,C.D13NUHE000,-35,35,,4,623.952,UHE.PH.GO.000528-2.01,,,,,,,,,,,,,,,,
82,Amador Aguiar 1,4052,243,51.1,81,-26,26,158,0.650205761316873,12.56,0.968,158,0.650205761316873,,,,,,-,-,2,3,MG,SE-CO,Fio d´Agua,Rio Araguari,Bacia do Paranaíba,Malha de Distribuição Triângulo - MG,0.650205761316873,0.0285815102328864,0.0,4053,4052,1,AMADO1UHE002,-,-,3,-,,2,2,81,-,-,-,0,51.1,81,OK,24.0,,,AMADO1UHE000,-26,26,,4,557.28,UHE.PH.MG.027483-6.01,,,,,,,,,,,,,,,,
83,Funil Grande,4044,180,19.3,60,-47.4,19.7,117,0.65,-20.1,0.981,117,0.65,,,,,,-,-,2,3,MG,SE-CO,Fio d´Agua,Rio Grande,Bacia do Grande,Malha de Distribuição Sul/Itutinga/Itajubá - MG,0.65,0.0241286863270777,0.0,1543,4044,1,FUNGRDUHE002,-,-,3,-,,2,2,60,-,-,-,0,19.3,60,OK,3.0,20.0,,FUNGRDUHE000,-47.4,19.7,,3,381.906,UHE.PH.MG.001006-5.01,,,,,,,,,,,,,,,,
84,Volta Grande,305,380,50,95,-30,30,247,0.65,-23.1,0.957,247,0.65,,,,,,1,0,3,4,MG/SP,SE-CO,Fio d´Agua,Rio Grande,Bacia do Grande,Sistema de 345kV do Grande,0.65,0.0509383378016086,0.0,396,305,1,V.GRD-UHE003,1,1,4,0,,3,3,95,-,9037,4,0,50,95,OK,10.0,44.0,,V.GRD-UHE000,-30,30,,38,1680.0,UHE.PH.SP.003045-7.01,,,,,,,,,,,,,,,,
85,Caconde,521,80,,40.2,-25,25,64,0.8,7.896,0.975,64,0.8,,,,,,-,-,2,2,SP,SE-CO,Reservatório,Rio Pardo,Bacia do Grande,Pardo - SP,0.8,0.0107238605898123,0.0,683,521,1,CACONDUHE002,-,-,2,-,,2,2,40.2,-,-,-,0,0,40.2,OK,14.0,27.0,,CACONDUHE000,-25,25,,16.4,247.044,UHE.PH.SP.000588-6.01,,,,,,,,,,,,,,,,
86,Luís Carlos Barreto,12,1048,125,174.8,-90,70,681,0.649809160305344,-154,0.957,681,0.649809160305344,,,,,,2,2,4,6,MG/SP,SE-CO,Fio d´Agua,Rio Grande,Bacia do Grande,Sistema de 345kV do Grande,0.649809160305344,0.140482573726542,0.0,134,12,1,LCBARRUHE004,2,0,6,2,,4,4,174.8,-,13,2,0,125,174.8,OK,7.0,,,LCBARRUHE000,-90,70,,18.2,4747.2,UHE.PH.SP.000917-2.01,,,,,,,,,,,,,,,,
87,Água Vermelha,500,1396,125,232.7,-90,90,1117,0.800143266475645,221.8,1.01,1117,0.800143266475645,,,,,,-,-,5,6,SP,SE-CO,Reservatório,Rio Grande,Bacia do Grande,Malha de 440kV - SP,0.800143266475645,0.187131367292225,0.0,536,500,1,A.VERMUHE005,-,-,6,-,,5,5,232.7,-,-,-,0,125,232.7,OK,13.0,172.0,,A.VERMUHE000,-90,90,,46.5,5037.5,UHE.PH.MG.000041-8.01,,,,,,,,,,,,,,,,
88,Euclides Da Cunha,522,108,13,27.2,-17,17,86,0.796296296296296,4.812,0.986,86,0.796296296296296,,,,,,-,-,4,4,SP,SE-CO,Fio d´Agua,Rio Pardo,Bacia do Grande,Pardo - SP,0.796296296296296,0.0144772117962466,0.0,687,522,1,ECUNHAUHE004,-,-,4,-,,4,4,27.2,-,-,-,0,13,27.2,OK,15.0,8.0,,ECUNHAUHE000,-17,17,,22.8,341.4,UHE.PH.SP.000923-7.01,,,,,,,,,,,,,,,,
89,Cachoeira Dourada 138 kV,751,108,30,54,-25,25,70,0.648148148148148,11.68,0.982,70,0.648148148148148,,,,,,-,-,2,2,GO,SE-CO,Fio d´Agua,Rio Paranaíba,Bacia do Paranaíba,,0.648148148148148,0.0127028934368384,0.0,755,751,1,C.DO13UHE002,-,-,2,-,,2,2,54,-,-,-,0,30,54,OK,31.0,,,C.DO13UHE000,-25,25,,38,362.024,UHE.PH.GO.000528-2.01,,,,,,,,,,,,,,,,
90,Cachoeira Dourada 138 kV,750,34,5,17,-8,8,22,0.647058823529412,0.2121,0.982,22,0.647058823529412,,,,,,-,-,2,2,GO,SE-CO,Fio d´Agua,Rio Paranaíba,Bacia do Paranaíba,,0.647058823529412,0.0039990590449306,0.0,755,750,1,C.DO11UHE002,-,-,2,-,,2,2,17,-,-,-,0,5,17,OK,32.0,15.0,,C.DO11UHE000,-8,8,,12,99.994,UHE.PH.GO.000528-2.01,,,,,,,,,,,,,,,,
91,Tucurui I,6419,1750,203,350,-105,105,1129,0.645142857142857,-67.9,0.984,1129,0.645142857142857,,,,,,-,-,4,5,PA,N,Reservatório,Rio Tocantins,Rio Tocantins,Sistema Norte,0.645142857142857,0.135365099009901,0.0,6410,6419,1,TUCUR1UHE004,-,-,5,-,,4,4,350,-,-,-,0,203,350,OK,129.0,,,TUCUR1UHE000,-105,105,,271,6533.8,UHE.PH.PA.002889-4.01,,,,,,,,,,,,,,,,
92,Tucurui I,6422,1400,203,350,-105,105,903,0.645,-67.9,0.982,903,0.645,,,,,,1,0,3,4,PA,N,Reservatório,Rio Tocantins,Rio Tocantins,Sistema Norte,0.645,0.108292079207921,0.0,6410,6422,1,TUCUR3UHE003,1,1,4,0,,3,3,350,-,6423,1,0,203,350,OK,131.0,,,TUCUR3UHE000,-105,105,,147,4900.35,UHE.PH.PA.002889-4.01,,,,,,,,,,,,,,,,
93,Itutinga,1501,56,-,-,-,-,36,0.642857142857143,2.854,0.959,36,0.642857142857143,,,,,,-,-,-,-,MG,SE-CO,Reservatório,Rio Grande,Bacia do Grande,Malha de Distribuição Sul/Itutinga/Itajubá - MG,0.642857142857143,0.00750670241286863,0.0,1538,1501,1,ITUTINUHE000,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,1.0,17.0,,ITUTINUHE000,-,-,,-,0.0,UHE.PH.MG.001197-5.01,,,,,,,,,,,,,,,,
