,pasta_run,configuracao,execucao,config_num,param_CROSSOVER,param_DELTA_MIN,param_IND_SIZE,param_MUTACAO,param_NUM_GENERATIONS,param_NUM_VAR_DIFERENTES,param_POP_SIZE,param_PORCENTAGEM,param_RCE_REPOPULATION_GENERATIONS,best_var_10,best_var_1,best_var_2,best_var_3,best_var_4,best_var_5,best_var_6,best_var_7,best_var_8,best_var_9,best_fitness,best_gen_idx,fitness_function
248,run_2025-08-31_16-34-49,config_2,4,2,0.9,2,5,0.8,20,1,10,0.2,50,,26,0,8,26,20,,,,,50.63540522778678,14,function_IEEE_14
250,run_2025-08-31_16-34-49,config_2,6,2,0.9,2,5,0.8,20,1,10,0.2,50,,25,18,18,25,18,,,,,50.63540522778679,14,function_IEEE_14
347,run_2025-08-31_19-10-42,config_4,5,4,0.9,2,5,0.05,20,1,10,0.2,50,,27,13,19,27,19,,,,,50.63540522778689,19,function_IEEE_14
245,run_2025-08-31_16-34-49,config_2,1,2,0.9,2,5,0.8,20,1,10,0.2,50,,18,9,18,0,10,,,,,50.92435253976517,11,function_IEEE_14
364,run_2025-08-31_19-40-43,config_3,1,3,0.9,2,5,0.1,20,1,10,0.2,50,,6,6,6,31,6,,,,,50.9243525397653,4,function_IEEE_14
194,run_2025-08-31_15-58-02,config_2,3,2,0.9,2,5,0.8,20,1,10,0.2,50,,31,0,10,31,1,,,,,50.98397950809326,16,function_IEEE_14
335,run_2025-08-31_19-10-42,config_2,7,2,0.9,2,5,0.8,20,1,10,0.2,50,,28,5,12,28,6,,,,,50.98397950809327,7,function_IEEE_14
348,run_2025-08-31_19-10-42,config_4,6,4,0.9,2,5,0.05,20,1,10,0.2,50,,25,10,15,25,10,,,,,50.98397950809331,19,function_IEEE_14
316,run_2025-08-31_18-40-45,config_4,2,4,0.9,2,5,0.05,20,1,10,0.2,50,,19,26,19,31,6,,,,,51.02421332433352,13,function_IEEE_14
321,run_2025-08-31_18-40-45,config_4,7,4,0.9,2,5,0.05,20,1,10,0.2,50,,20,10,20,28,3,,,,,51.02421332433359,2,function_IEEE_14
281,run_2025-08-31_17-05-38,config_3,2,3,0.9,2,5,0.1,20,1,10,0.2,50,,24,31,10,24,1,,,,,51.08384029266166,12,function_IEEE_14
336,run_2025-08-31_19-10-42,config_3,1,3,0.9,2,5,0.1,20,1,10,0.2,50,,31,26,19,31,0,,,,,51.08384029266166,15,function_IEEE_14
254,run_2025-08-31_16-34-49,config_3,3,3,0.9,2,5,0.1,20,1,10,0.2,50,,26,3,15,26,11,,,,,51.08384029266171,10,function_IEEE_14
262,run_2025-08-31_16-34-49,config_4,4,4,0.9,2,5,0.05,20,1,10,0.2,50,,25,7,17,25,13,,,,,51.08384029266171,1,function_IEEE_14
341,run_2025-08-31_19-10-42,config_3,6,3,0.9,2,5,0.1,20,1,10,0.2,50,,27,10,17,27,0,,,,,51.08384029266171,11,function_IEEE_14
255,run_2025-08-31_16-34-49,config_3,4,3,0.9,2,5,0.1,20,1,10,0.2,50,,26,19,18,26,13,,,,,51.08384029266173,12,function_IEEE_14
367,run_2025-08-31_19-40-43,config_3,4,3,0.9,2,5,0.1,20,1,10,0.2,50,,28,23,14,28,1,,,,,51.08384029266175,0,function_IEEE_14
308,run_2025-08-31_18-40-45,config_3,1,3,0.9,2,5,0.1,20,1,10,0.2,50,,9,21,9,31,0,,,,,51.3746292881778,19,function_IEEE_14
375,run_2025-08-31_19-40-43,config_4,5,4,0.9,2,5,0.05,20,1,10,0.2,50,,12,16,12,26,12,,,,,51.41723473258799,3,function_IEEE_14
247,run_2025-08-31_16-34-49,config_2,3,2,0.9,2,5,0.8,20,1,10,0.2,50,,9,10,9,30,18,,,,,51.65197017531489,12,function_IEEE_14
357,run_2025-08-31_19-40-43,config_2,1,2,0.9,2,5,0.8,20,1,10,0.2,50,,20,30,20,1,12,,,,,51.65845840858612,19,function_IEEE_14
199,run_2025-08-31_15-58-02,config_3,1,3,0.9,2,5,0.1,20,1,10,0.2,50,,24,9,9,24,9,,,,,51.75036884886001,10,function_IEEE_14
252,run_2025-08-31_16-34-49,config_3,1,3,0.9,2,5,0.1,20,1,10,0.2,50,,31,13,7,31,23,,,,,51.88612711830656,9,function_IEEE_14
224,run_2025-08-31_16-04-07,config_3,1,3,0.9,2,5,0.1,20,1,10,0.2,50,,5,25,13,5,21,,,,,51.91881934876969,2,function_IEEE_14
330,run_2025-08-31_19-10-42,config_2,2,2,0.9,2,5,0.8,20,1,10,0.2,50,,1,30,20,1,13,,,,,51.91881934876969,19,function_IEEE_14
370,run_2025-08-31_19-40-43,config_3,7,3,0.9,2,5,0.1,20,1,10,0.2,50,,3,10,18,3,20,,,,,51.9188193487698,4,function_IEEE_14
279,run_2025-08-31_17-05-38,config_2,7,2,0.9,2,5,0.8,20,1,10,0.2,50,,19,25,19,7,15,,,,,52.10689347346101,11,function_IEEE_14
317,run_2025-08-31_18-40-45,config_4,3,4,0.9,2,5,0.05,20,1,10,0.2,50,,17,25,17,0,10,,,,,52.10689347346101,11,function_IEEE_14
302,run_2025-08-31_18-40-45,config_2,2,2,0.9,2,5,0.8,20,1,10,0.2,50,,14,31,14,5,31,,,,,52.12300544847117,10,function_IEEE_14
259,run_2025-08-31_16-34-49,config_4,1,4,0.9,2,5,0.05,20,1,10,0.2,50,,1,30,18,1,14,,,,,52.36725441364458,11,function_IEEE_14
202,run_2025-08-31_15-58-02,config_3,4,3,0.9,2,5,0.1,20,1,10,0.2,50,,24,0,24,30,8,,,,,52.40268210446767,-1,function_IEEE_14
